Series Name,"Series Code","Country Name","Country Code","2019 [YR2019]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Afghanistan","AFG","64.833"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Albania","ALB","78.573"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Algeria","DZA","76.88"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","American Samoa","ASM",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Andorra","AND",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Angola","AGO","61.147"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Antigua and Barbuda","ATG","77.016"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Argentina","ARG","76.667"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Armenia","ARM","75.087"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Aruba","ABW","76.293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Australia","AUS","82.9"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Austria","AUT","81.8951219512195"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Azerbaijan","AZE","73.005"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahamas, The","BHS","73.918"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahrain","BHR","77.292"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bangladesh","BGD","72.591"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Barbados","BRB","79.19"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belarus","BLR","74.2268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belgium","BEL","81.9951219512195"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belize","BLZ","74.623"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Benin","BEN","61.771"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bermuda","BMU","81.8665853658537"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bhutan","BTN","71.777"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bolivia","BOL","71.513"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bosnia and Herzegovina","BIH","77.401"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Botswana","BWA","69.592"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brazil","BRA","75.881"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","British Virgin Islands","VGB",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brunei Darussalam","BRN","75.86"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bulgaria","BGR","75.1121951219512"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Burkina Faso","BFA","61.577"
